molecule_id,assay_version,reagent_batch,operator,moe_prediction,experimental_value
MOL-001,v2.1,BATCH-2024-001,Dr. Smith,5.2,5.8
MOL-002,v2.1,BATCH-2024-001,Dr. Smith,3.7,4.1
MOL-003,v2.1,BATCH-2024-001,Dr. Smith,7.1,7.9
MOL-004,v2.1,BATCH-2024-001,Dr. Smith,2.3,2.8
MOL-005,v2.1,BATCH-2024-001,Dr. Smith,6.5,7.2
MOL-006,v2.1,BATCH-2024-002,Dr. Jones,4.8,6.1
MOL-007,v2.1,BATCH-2024-002,Dr. Jones,3.2,4.5
MOL-008,v2.1,BATCH-2024-002,Dr. Jones,5.9,7.3
MOL-009,v2.1,BATCH-2024-002,Dr. Jones,2.1,3.2
MOL-010,v2.1,BATCH-2024-002,Dr. Jones,4.3,5.7
MOL-011,v2.2,BATCH-2024-003,Dr. Smith,6.1,8.2
MOL-012,v2.2,BATCH-2024-003,Dr. Smith,3.5,5.1
MOL-013,v2.2,BATCH-2024-003,Dr. Smith,5.4,7.6
MOL-014,v2.2,BATCH-2024-003,Dr. Smith,2.8,4.3
MOL-015,v2.2,BATCH-2024-003,Dr. Smith,4.6,6.8
MOL-016,v2.2,BATCH-2024-003,Dr. Jones,7.2,9.5
MOL-017,v2.2,BATCH-2024-003,Dr. Jones,3.9,5.8
MOL-018,v2.2,BATCH-2024-003,Dr. Jones,5.1,7.4
MOL-019,v2.2,BATCH-2024-003,Dr. Jones,2.5,4.1
MOL-020,v2.2,BATCH-2024-003,Dr. Jones,4.9,7.2








