Compound_ID,Plate_ID,Well,Assay_Date,Operator,IC50_uM,Std_Error_uM,Reagent_Batch,Instrument,Cell_Line,Target,Notes
CMP-001,PLATE-2024-001,A01,2024-01-15,Dr. Smith,4.2,0.3,BATCH-2024-001,LC-MS-01,HEK293,EGFR,Control compound
CMP-002,PLATE-2024-001,A02,2024-01-15,Dr. Smith,3.8,0.25,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-003,PLATE-2024-001,A03,2024-01-15,Dr. Smith,5.1,0.4,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-004,PLATE-2024-001,A04,2024-01-15,Dr. Smith,4.7,0.35,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-005,PLATE-2024-001,A05,2024-01-15,Dr. Smith,3.5,0.2,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-006,PLATE-2024-001,A06,2024-01-15,Dr. Smith,4.9,0.3,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-007,PLATE-2024-001,A07,2024-01-15,Dr. Smith,5.3,0.4,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-008,PLATE-2024-001,A08,2024-01-15,Dr. Smith,4.1,0.3,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-009,PLATE-2024-001,A09,2024-01-15,Dr. Smith,3.9,0.25,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-010,PLATE-2024-001,A10,2024-01-15,Dr. Smith,5.0,0.35,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-011,PLATE-2024-001,A11,2024-01-15,Dr. Smith,4.6,0.3,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-012,PLATE-2024-001,A12,2024-01-15,Dr. Smith,4.3,0.3,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-013,PLATE-2024-001,B01,2024-01-15,Dr. Smith,3.7,0.25,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-014,PLATE-2024-001,B02,2024-01-15,Dr. Smith,4.8,0.35,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-015,PLATE-2024-001,B03,2024-01-15,Dr. Smith,5.2,0.4,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-016,PLATE-2024-001,B04,2024-01-15,Dr. Smith,4.4,0.3,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-017,PLATE-2024-001,B05,2024-01-15,Dr. Smith,3.6,0.25,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-018,PLATE-2024-001,B06,2024-01-15,Dr. Smith,4.5,0.3,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-019,PLATE-2024-001,B07,2024-01-15,Dr. Smith,5.4,0.4,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-020,PLATE-2024-001,B08,2024-01-15,Dr. Smith,4.0,0.3,BATCH-2024-001,LC-MS-01,HEK293,EGFR,
CMP-001,PLATE-2024-002,A01,2024-02-01,Dr. Jones,6.1,0.5,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-002,PLATE-2024-002,A02,2024-02-01,Dr. Jones,5.8,0.45,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-003,PLATE-2024-002,A03,2024-02-01,Dr. Jones,6.5,0.5,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-004,PLATE-2024-002,A04,2024-02-01,Dr. Jones,6.2,0.5,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-005,PLATE-2024-002,A05,2024-02-01,Dr. Jones,5.5,0.4,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-006,PLATE-2024-002,A06,2024-02-01,Dr. Jones,6.3,0.5,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-007,PLATE-2024-002,A07,2024-02-01,Dr. Jones,6.7,0.55,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-008,PLATE-2024-002,A08,2024-02-01,Dr. Jones,6.0,0.45,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-009,PLATE-2024-002,A09,2024-02-01,Dr. Jones,5.9,0.45,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
CMP-010,PLATE-2024-002,A10,2024-02-01,Dr. Jones,6.4,0.5,BATCH-2024-002,LC-MS-01,HEK293,EGFR,New reagent batch
